sigma_test,replica,v_score_standard,v_score_posenc
0.06948717948717949,8,4.1723356209204975e-05,3.96667832736504e-05
0.06948717948717949,9,5.652576080904798e-05,6.455144497916361e-05
0.07692307692307691,0,4.7381796155503814e-05,5.18637856993988e-05
0.07692307692307691,1,0.0001354248003352438,0.0001432945007044827
0.07692307692307691,2,4.60002161022011e-05,4.0973261824691955e-05
0.07692307692307691,3,4.597772634552202e-05,4.921929333332892e-05
0.07692307692307691,4,6.987588722678727e-05,9.890558575971455e-05
0.07692307692307691,5,4.3433824265224925e-05,4.416024129352758e-05
0.07692307692307691,6,4.757687596748684e-05,5.312100108026295e-05
0.07692307692307691,7,8.403112605956067e-05,9.41365597272286e-05
0.07692307692307691,8,0.0001521625648933531,0.0001718483266857366
0.07692307692307691,9,3.436998794073445e-05,3.621628024522172e-05
0.08435897435897435,0,0.0002737258154924994,0.00036709320223833136
0.08435897435897435,1,3.580291728319373e-05,3.404114175601327e-05
0.08435897435897435,2,6.8406866037167e-05,6.550517936428755e-05
0.08435897435897435,3,0.00013696337815876242,0.0002015311630662993
0.08435897435897435,4,0.000269203373471196,0.0002812244421639161
0.08435897435897435,5,4.706156221594699e-05,4.615615626082569e-05
0.08435897435897435,6,7.839376718998586e-05,9.289195632530129e-05
0.08435897435897435,7,5.2716004691927377e-05,5.606849035780332e-05
0.08435897435897435,8,0.00014975578206206805,0.0002000762151553612
0.08435897435897435,9,0.000251671005772003,0.0002448504710421635
0.0917948717948718,0,0.00015924891025996047,0.00018955194065342003
0.0917948717948718,1,6.628676527471378e-05,8.82284465711202e-05
0.0917948717948718,2,4.750753935394015e-05,5.004139721186037e-05
0.0917948717948718,3,3.805583992958224e-05,4.803120849278695e-05
0.0917948717948718,4,4.266216305618768e-05,4.922401175656809e-05
0.0917948717948718,5,9.471819701162541e-05,9.001625140028849e-05
0.0917948717948718,6,0.00015760373511904157,0.00021553742123066135
0.0917948717948718,7,6.705479759688605e-05,6.642772927744225e-05
0.0917948717948718,8,0.0001666226315207066,0.00018907171518244546
0.0917948717948718,9,0.0001289235962901059,0.00010379270482790809
0.09923076923076922,0,9.421978923227047e-05,0.00012611925275076967
0.09923076923076922,1,0.0003776178152847064,0.0007907341602570976
0.09923076923076922,2,0.00020410521072754506,0.000240239246652444
0.09923076923076922,3,7.062084628469443e-05,7.518615901743523e-05
0.09923076923076922,4,0.0001343004684569181,0.00011438158098196383
0.09923076923076922,5,0.0001154336267941272,0.00012529145784579787
0.09923076923076922,6,9.439711086284191e-05,0.00011748054272691992
0.09923076923076922,7,6.729590607806736e-05,9.446624649692766e-05
0.09923076923076922,8,9.074374931695643e-05,9.240385439226292e-05
0.09923076923076922,9,0.00012771754034382202,0.00012387824675908567
0.10666666666666666,0,9.226863285676555e-05,8.847131011123327e-05
0.10666666666666666,1,0.00017865750353901813,0.00020886458232124367
0.10666666666666666,2,0.00017760815739518843,0.0001917384044426354
0.10666666666666666,3,6.29616502655084e-05,5.591655583109419e-05
0.10666666666666666,4,0.00030733675747296555,0.00027781757929882926
0.10666666666666666,5,7.110961532535638e-05,5.4551016103893535e-05
0.10666666666666666,6,8.892685398409655e-05,8.719746053071953e-05
0.10666666666666666,7,0.00014958025359385348,0.00019052845801283328
0.10666666666666666,8,4.16958559537717e-05,4.486386839098087e-05
0.10666666666666666,9,0.0006890987195868051,0.0009008831457202386
0.1141025641025641,0,7.848827732629471e-05,9.215996611937815e-05
0.1141025641025641,1,5.798981336050844e-05,7.136761789338058e-05
0.1141025641025641,2,0.0008227470358146072,0.001308747112182819
0.1141025641025641,3,7.144770697536429e-05,6.5699475247986e-05
0.1141025641025641,4,8.097623959435674e-05,8.177000152216675e-05
0.1141025641025641,5,5.532695851519249e-05,9.442481933574049e-05
0.1141025641025641,6,8.859559017328377e-05,0.00010106423357692212
0.1141025641025641,7,9.65099684714189e-05,0.00011346286100794584
0.1141025641025641,8,0.00012025677538056209,0.00013272829605082465
0.1141025641025641,9,5.4572733850661654e-05,6.433508825672627e-05
0.12153846153846153,0,0.00010037840055848649,9.818247826577795e-05
0.12153846153846153,1,0.0001356961444922787,0.00014151413062589557
0.12153846153846153,2,0.00029480273784832165,0.0004976983950775727
0.12153846153846153,3,0.00021129885886059114,0.00022865633696614513
0.12153846153846153,4,0.0002262159212753499,0.00022136976974567604
0.12153846153846153,5,0.00016713311639316483,0.0002242582122780075
0.12153846153846153,6,8.458852066522908e-05,7.262661855521973e-05
0.12153846153846153,7,0.0003334819535340762,0.000327896231248748
0.12153846153846153,8,0.0010008068030122976,0.0010040004256029347
0.12153846153846153,9,0.00027642721012972687,0.00028227511973089617
0.12897435897435897,0,0.00016832690418300654,0.00015215661951219398
0.12897435897435897,1,6.697009378577817e-05,8.661503792712778e-05
0.12897435897435897,2,0.00014593044493740358,0.0001765704457288022
0.12897435897435897,3,0.0005045029623789004,0.0006472221744927535
0.12897435897435897,4,7.044600831775318e-05,8.393757974881675e-05
0.12897435897435897,5,9.118033617058646e-05,9.655954276554629e-05
0.12897435897435897,6,0.0001740843657656788,0.00025775868726838296
0.12897435897435897,7,0.00013231968394980954,0.00020026515398452504
0.12897435897435897,8,0.00019004742473146277,0.00016907298714165155
0.12897435897435897,9,0.00010323991924598896,9.182838685340156e-05
0.13641025641025642,0,0.0008648212595236837,0.0010376723807018686
0.13641025641025642,1,7.911262933398407e-05,7.866253543952383e-05
0.13641025641025642,2,0.00010178460739560214,9.681279826840633e-05
0.13641025641025642,3,7.900056675474373e-05,9.744493214028614e-05
0.13641025641025642,4,6.906962244448074e-05,7.791302153993215e-05
0.13641025641025642,5,0.00011579752796343766,0.00017635455419464508
0.13641025641025642,6,0.0001104185580918132,0.00019428123463134482
0.13641025641025642,7,0.00011100316295856395,0.00013225621346850392
0.13641025641025642,8,0.000280504733628329,0.00026588264718489926
0.13641025641025642,9,0.0002266918250496594,0.00016258831528999707
0.14384615384615385,0,0.00010443818924660045,0.00011849419929733065
0.14384615384615385,1,0.0017010107466456706,0.0023147633906433953
0.14384615384615385,2,0.00023582387469256815,0.00029648064135497787
0.14384615384615385,3,0.00035826854823488676,0.00030255136350529165
0.14384615384615385,4,0.0003523252935154945,0.0006486350740926157
