sigma_test,replica,v_score_original,v_score_dual
0.18102564102564103,9,0.00024655886049496475,1.7408845109533996e-05
0.18846153846153846,0,0.0005895631353866152,1.9954243965159136e-05
0.18846153846153846,1,0.00024643425837774126,1.3113532517273072e-05
0.18846153846153846,2,0.0006698799438158171,1.875982183627602e-05
0.18846153846153846,3,0.0003770422893884058,3.975142333868187e-05
0.18846153846153846,4,0.0005109669421719869,1.9623954039539266e-05
0.18846153846153846,5,0.00029045084206395295,2.216730672424851e-05
0.18846153846153846,6,0.0004917892378648529,1.6830036420557125e-05
0.18846153846153846,7,0.00020469122579725067,2.4190942438438047e-05
0.18846153846153846,8,0.00018773806824085384,2.899047548927567e-05
0.18846153846153846,9,0.000532209905778031,2.6588005237183456e-05
0.1958974358974359,0,0.0002295147613586186,2.7723231567604585e-05
0.1958974358974359,1,0.00018773158872084018,2.247457725881978e-05
0.1958974358974359,2,0.00019226152191100947,1.418475771105686e-05
0.1958974358974359,3,0.0001787142957348738,2.0914738801048273e-05
0.1958974358974359,4,0.00021685215487727514,2.1268786653638863e-05
0.1958974358974359,5,0.00011504518322098136,1.7417619209699187e-05
0.1958974358974359,6,0.00017077396322140662,2.0577695759235933e-05
0.1958974358974359,7,0.00018121726165113485,2.1966815887868293e-05
0.1958974358974359,8,0.00017688184753148774,2.0113995258361024e-05
0.1958974358974359,9,0.00038709655580560593,2.052834171453288e-05
0.20333333333333334,0,0.0006019094794397644,0.00010184805350496468
0.20333333333333334,1,0.0003037815062623649,2.189206148675372e-05
0.20333333333333334,2,0.0003284282563577098,2.522621513945141e-05
0.20333333333333334,3,0.0004930259820657312,1.7690253895378427e-05
0.20333333333333334,4,0.00013698414885091409,1.4150110718345784e-05
0.20333333333333334,5,0.000347208517090509,2.6670833813691392e-05
0.20333333333333334,6,0.0023332523189256928,0.0001511807331905591
0.20333333333333334,7,0.00010662486515766399,1.3898471986409694e-05
0.20333333333333334,8,0.00010430295995880108,2.8345692684941148e-05
0.20333333333333334,9,0.00047947051425804117,3.112672787807624e-05
0.21076923076923076,0,0.00031738647876767455,2.0176642025316183e-05
0.21076923076923076,1,0.00034633131321293385,0.00021989486579287087
0.21076923076923076,2,0.0001916979744900253,2.355911673094521e-05
0.21076923076923076,3,0.00031885982445160264,1.8206878868212054e-05
0.21076923076923076,4,0.0005398429463940369,2.140566249051821e-05
0.21076923076923076,5,0.00020858107680590053,2.210227765106329e-05
0.21076923076923076,6,0.00027754080459615517,1.881587862320093e-05
