batch_config,sigma_test,replica,v_score
n=320,0.01,1,2.702091777048569e-05
n=320,0.01,2,2.6728937471543498e-05
n=320,0.01,3,2.6540611072742398e-05
n=320,0.01,4,2.6628819495595732e-05
n=320,0.01,5,2.5858245199408848e-05
n=320,0.01,6,2.752303769199885e-05
n=320,0.01,7,2.6306031703534497e-05
n=320,0.01,8,2.6908750923279955e-05
n=320,0.01,9,2.4569887854567157e-05
n=320,0.017435897435897435,0,2.5532380681997968e-05
n=320,0.017435897435897435,1,2.6061479013716273e-05
n=320,0.017435897435897435,2,2.9112829063935486e-05
n=320,0.017435897435897435,3,2.5964592401576613e-05
n=320,0.017435897435897435,4,2.623346415205227e-05
n=320,0.017435897435897435,5,2.552019118057442e-05
n=320,0.017435897435897435,6,2.8560935268785755e-05
n=320,0.017435897435897435,7,2.6456845915975283e-05
n=320,0.017435897435897435,8,2.7041575283747195e-05
n=320,0.017435897435897435,9,2.8148874505945867e-05
n=320,0.02487179487179487,0,2.74813987312549e-05
n=320,0.02487179487179487,1,2.7198464616952434e-05
n=320,0.02487179487179487,2,2.731527943424186e-05
n=320,0.02487179487179487,3,2.6475882956302575e-05
n=320,0.02487179487179487,4,2.747447058399552e-05
n=320,0.02487179487179487,5,2.7376241336030292e-05
n=320,0.02487179487179487,6,2.7105038659557742e-05
n=320,0.02487179487179487,7,2.6832634854524433e-05
n=320,0.02487179487179487,8,2.8251694681384043e-05
n=320,0.02487179487179487,9,2.763494389123522e-05
n=320,0.03230769230769231,0,2.687967989659836e-05
n=320,0.03230769230769231,1,2.921232123434877e-05
n=320,0.03230769230769231,2,2.6796052883686724e-05
n=320,0.03230769230769231,3,2.6898045582123656e-05
n=320,0.03230769230769231,4,2.5749183464223977e-05
n=320,0.03230769230769231,5,2.7149772034430767e-05
n=320,0.03230769230769231,6,2.6392573721428625e-05
n=320,0.03230769230769231,7,2.6476899774450875e-05
n=320,0.03230769230769231,8,2.9166983706715835e-05
n=320,0.03230769230769231,9,2.6862374890461435e-05
n=320,0.03974358974358974,0,2.7070895031935143e-05
n=320,0.03974358974358974,1,2.7531066812073992e-05
