patch_size_b,L_eff,sigma_test,replica,v_score
2,32,0.16615384615384615,8,9.356574601765529e-05
2,32,0.16615384615384615,9,7.496015960507079e-05
2,32,0.1735897435897436,0,9.535151969856496e-05
2,32,0.1735897435897436,1,9.083427194609828e-05
2,32,0.1735897435897436,2,0.00010307728587694053
2,32,0.1735897435897436,3,8.270573072254487e-05
2,32,0.1735897435897436,4,7.92851814795118e-05
2,32,0.1735897435897436,5,0.00010373646231708866
2,32,0.1735897435897436,6,7.264703519292653e-05
2,32,0.1735897435897436,7,0.00011271899511388726
2,32,0.1735897435897436,8,7.543830759527547e-05
2,32,0.1735897435897436,9,8.374626633478933e-05
2,32,0.18102564102564103,0,0.00011067959760765407
2,32,0.18102564102564103,1,8.42467362076493e-05
2,32,0.18102564102564103,2,9.525648271882577e-05
2,32,0.18102564102564103,3,8.415112499434761e-05
2,32,0.18102564102564103,4,8.668720591987534e-05
2,32,0.18102564102564103,5,8.834684105838866e-05
2,32,0.18102564102564103,6,7.899698717331088e-05
2,32,0.18102564102564103,7,8.30856884715001e-05
2,32,0.18102564102564103,8,9.524437819931663e-05
2,32,0.18102564102564103,9,8.50312929105807e-05
2,32,0.18846153846153846,0,9.865942466501107e-05
2,32,0.18846153846153846,1,8.445071201413172e-05
2,32,0.18846153846153846,2,8.928426369956583e-05
2,32,0.18846153846153846,3,9.653028922002353e-05
2,32,0.18846153846153846,4,8.905463781402122e-05
2,32,0.18846153846153846,5,8.729512652067634e-05
2,32,0.18846153846153846,6,7.998960513190967e-05
2,32,0.18846153846153846,7,8.570919951180591e-05
2,32,0.18846153846153846,8,8.977581256718086e-05
2,32,0.18846153846153846,9,9.538851388772193e-05
2,32,0.1958974358974359,0,8.997284030427531e-05
2,32,0.1958974358974359,1,9.085150466991438e-05
2,32,0.1958974358974359,2,9.954498354030684e-05
2,32,0.1958974358974359,3,8.213098511324718e-05
2,32,0.1958974358974359,4,8.58526716910772e-05
2,32,0.1958974358974359,5,9.600543224241595e-05
2,32,0.1958974358974359,6,8.459651210007098e-05
2,32,0.1958974358974359,7,0.00010335571649414227
2,32,0.1958974358974359,8,0.00011698527222702206
2,32,0.1958974358974359,9,0.00010655914677399731
2,32,0.20333333333333334,0,8.593016734820855e-05
2,32,0.20333333333333334,1,8.81003138062973e-05
2,32,0.20333333333333334,2,0.00010470387734152291
2,32,0.20333333333333334,3,0.00013015858933685233
2,32,0.20333333333333334,4,9.731111856030645e-05
2,32,0.20333333333333334,5,7.167424194912091e-05
2,32,0.20333333333333334,6,9.550964215512153e-05
2,32,0.20333333333333334,7,9.445782021363163e-05
2,32,0.20333333333333334,8,9.221615492673363e-05
2,32,0.20333333333333334,9,0.00011357441726791475
2,32,0.21076923076923076,0,8.729087515033172e-05
2,32,0.21076923076923076,1,9.148229946571861e-05
2,32,0.21076923076923076,2,8.436739808569914e-05
2,32,0.21076923076923076,3,0.00012394757036040868
2,32,0.21076923076923076,4,9.476397711095343e-05
2,32,0.21076923076923076,5,0.00011469086488826971
2,32,0.21076923076923076,6,9.326732419571849e-05
2,32,0.21076923076923076,7,8.738617624560527e-05
2,32,0.21076923076923076,8,9.690127964721149e-05
2,32,0.21076923076923076,9,9.021132668377452e-05
2,32,0.21820512820512822,0,0.00012708110604844937
2,32,0.21820512820512822,1,9.90160390956589e-05
2,32,0.21820512820512822,2,0.00010918473767385683
2,32,0.21820512820512822,3,0.00012499521870838667
2,32,0.21820512820512822,4,0.0001298273055913421
2,32,0.21820512820512822,5,9.556295310389884e-05
2,32,0.21820512820512822,6,9.430261617743081e-05
2,32,0.21820512820512822,7,7.228500964106888e-05
2,32,0.21820512820512822,8,9.376929118882941e-05
2,32,0.21820512820512822,9,9.157683913312482e-05
2,32,0.22564102564102564,0,0.00010167851550235474
2,32,0.22564102564102564,1,0.0001257808943431894
2,32,0.22564102564102564,2,0.00010103858682213656
2,32,0.22564102564102564,3,9.962244851009017e-05
2,32,0.22564102564102564,4,9.750902403363345e-05
2,32,0.22564102564102564,5,8.694557667492418e-05
2,32,0.22564102564102564,6,9.830963176668677e-05
2,32,0.22564102564102564,7,9.586152840224498e-05
2,32,0.22564102564102564,8,9.540255475751814e-05
2,32,0.22564102564102564,9,0.00011158388968065462
2,32,0.23307692307692307,0,9.603796526341321e-05
2,32,0.23307692307692307,1,9.746075697005962e-05
2,32,0.23307692307692307,2,0.000111058285197658
2,32,0.23307692307692307,3,0.0001681682391127802
2,32,0.23307692307692307,4,0.00010426000465483389
2,32,0.23307692307692307,5,0.0001015485680002062
2,32,0.23307692307692307,6,0.0001121095035588364
2,32,0.23307692307692307,7,0.00011615593252346425
2,32,0.23307692307692307,8,9.56420391831643e-05
2,32,0.23307692307692307,9,0.000143889721679973
2,32,0.24051282051282052,0,0.00017346086053756716
2,32,0.24051282051282052,1,0.00012986583913407497
2,32,0.24051282051282052,2,0.00016459170658382374
2,32,0.24051282051282052,3,0.0001327536023139194
2,32,0.24051282051282052,4,0.00012881331545172147
2,32,0.24051282051282052,5,0.00011451298550901713
2,32,0.24051282051282052,6,0.00010868966976727372
2,32,0.24051282051282052,7,9.545546957870144e-05
2,32,0.24051282051282052,8,0.00013364025659575368
2,32,0.24051282051282052,9,0.00011347389949411536
2,32,0.24794871794871795,0,0.00011137705740234969
2,32,0.24794871794871795,1,0.00012644379558820947
2,32,0.24794871794871795,2,0.00021683107477213945
2,32,0.24794871794871795,3,9.866668618170622e-05
2,32,0.24794871794871795,4,0.00011012619402049181
2,32,0.24794871794871795,5,0.00012015383877083557
2,32,0.24794871794871795,6,0.00010316417686830061
2,32,0.24794871794871795,7,0.00016744990056813972
2,32,0.24794871794871795,8,9.499486382894378e-05
2,32,0.24794871794871795,9,9.430413310590645e-05
2,32,0.2553846153846154,0,0.0001060735227400352
