b,L_eff,sigma_test,replica,v_score
1,36,0.1141025641025641,4,0.00013291030817464853
1,36,0.1141025641025641,5,0.00015265727059343527
1,36,0.1141025641025641,6,0.00014285420412582829
1,36,0.1141025641025641,7,0.00014300900651006873
1,36,0.1141025641025641,8,0.0001541727851484565
1,36,0.1141025641025641,9,0.0001599113495651126
1,36,0.12153846153846153,0,0.00016479287178539962
1,36,0.12153846153846153,1,0.00015420752547006114
1,36,0.12153846153846153,2,0.00014345859643158417
1,36,0.12153846153846153,3,0.00015116626633020734
1,36,0.12153846153846153,4,0.0001379020807051285
1,36,0.12153846153846153,5,0.00015491925495937333
1,36,0.12153846153846153,6,0.0001478365580373226
1,36,0.12153846153846153,7,0.0001602280805434639
1,36,0.12153846153846153,8,0.00014920679614981172
1,36,0.12153846153846153,9,0.00016842484040885882
1,36,0.12897435897435897,0,0.00017014637661277854
1,36,0.12897435897435897,1,0.00015814216385597022
1,36,0.12897435897435897,2,0.0001680062785812214
1,36,0.12897435897435897,3,0.00017208431611989892
1,36,0.12897435897435897,4,0.00017852424807984218
1,36,0.12897435897435897,5,0.00015519854252274632
1,36,0.12897435897435897,6,0.00013145602182914958
1,36,0.12897435897435897,7,0.00015766924479143182
1,36,0.12897435897435897,8,0.00015594644210821488
1,36,0.12897435897435897,9,0.00019697395565206781
1,36,0.13641025641025642,0,0.00016982537449733028
1,36,0.13641025641025642,1,0.00014461437839367115
1,36,0.13641025641025642,2,0.0002218873942673893
1,36,0.13641025641025642,3,0.000200533669719726
1,36,0.13641025641025642,4,0.000143808570408201
1,36,0.13641025641025642,5,0.00015382678238087057
1,36,0.13641025641025642,6,0.000312519920970556
1,36,0.13641025641025642,7,0.00017626729814136904
1,36,0.13641025641025642,8,0.0001441873712121566
1,36,0.13641025641025642,9,0.00014681830261441546
1,36,0.14384615384615385,0,0.00015466127993843108
1,36,0.14384615384615385,1,0.00017600015239808492
1,36,0.14384615384615385,2,0.00018557934295940063
1,36,0.14384615384615385,3,0.00015741922707755213
1,36,0.14384615384615385,4,0.00014613167434515193
1,36,0.14384615384615385,5,0.00016347486313582297
1,36,0.14384615384615385,6,0.00018772828468985423
1,36,0.14384615384615385,7,0.00016322589595307984
1,36,0.14384615384615385,8,0.00017057985220698127
1,36,0.14384615384615385,9,0.0001593210582787462
1,36,0.1512820512820513,0,0.0002006686490398575
1,36,0.1512820512820513,1,0.00015343758539551898
1,36,0.1512820512820513,2,0.00017546585055064614
1,36,0.1512820512820513,3,0.00014131043237252262
1,36,0.1512820512820513,4,0.00016845158536895444
1,36,0.1512820512820513,5,0.00018441813103506493
1,36,0.1512820512820513,6,0.00015912381384582385
1,36,0.1512820512820513,7,0.00016524218758053708
1,36,0.1512820512820513,8,0.00020930365753758055
1,36,0.1512820512820513,9,0.00016723497703817922
1,36,0.15871794871794873,0,0.00017528634914338746
1,36,0.15871794871794873,1,0.00019837889515870498
1,36,0.15871794871794873,2,0.00016836525783655817
1,36,0.15871794871794873,3,0.0001564394426897788
1,36,0.15871794871794873,4,0.00017728367814871568
1,36,0.15871794871794873,5,0.00014992025372521567
1,36,0.15871794871794873,6,0.00015387731461080712
1,36,0.15871794871794873,7,0.0001744797247537584
1,36,0.15871794871794873,8,0.00020807518743869857
1,36,0.15871794871794873,9,0.00020523675406668997
1,36,0.16615384615384615,0,0.00020154448132245556
1,36,0.16615384615384615,1,0.00020800018476346092
1,36,0.16615384615384615,2,0.00018153916774776122
1,36,0.16615384615384615,3,0.00018907674542733473
1,36,0.16615384615384615,4,0.00019542386027405638
