d_spin,d_coup,split,sigma_test,replica,v_score
4,12,4/12,0.18102564102564103,2,3.689116314595698e-05
4,12,4/12,0.18102564102564103,3,5.4345376949020685e-05
4,12,4/12,0.18102564102564103,4,2.462241452554598e-05
4,12,4/12,0.18102564102564103,5,1.0938632567059937e-05
4,12,4/12,0.18102564102564103,6,2.019549222056349e-05
4,12,4/12,0.18102564102564103,7,2.9813178777866355e-05
4,12,4/12,0.18102564102564103,8,1.4211134426397958e-05
4,12,4/12,0.18102564102564103,9,9.764757476373524e-06
4,12,4/12,0.18846153846153846,0,1.940838494514307e-05
4,12,4/12,0.18846153846153846,1,7.603843796780321e-06
4,12,4/12,0.18846153846153846,2,1.0972208328540573e-05
4,12,4/12,0.18846153846153846,3,1.1186055059524659e-05
4,12,4/12,0.18846153846153846,4,1.8842697776696263e-05
4,12,4/12,0.18846153846153846,5,1.8925001453338046e-05
4,12,4/12,0.18846153846153846,6,1.5152763293273246e-05
4,12,4/12,0.18846153846153846,7,2.8846579093954906e-05
4,12,4/12,0.18846153846153846,8,5.136267396086574e-05
4,12,4/12,0.18846153846153846,9,2.0019705498854397e-05
4,12,4/12,0.1958974358974359,0,2.0712897416310322e-05
4,12,4/12,0.1958974358974359,1,1.766477287482102e-05
4,12,4/12,0.1958974358974359,2,1.3377718110324063e-05
4,12,4/12,0.1958974358974359,3,1.8404957478322385e-05
4,12,4/12,0.1958974358974359,4,2.2856351923510034e-05
4,12,4/12,0.1958974358974359,5,9.939771935524197e-06
4,12,4/12,0.1958974358974359,6,1.644753392609689e-05
4,12,4/12,0.1958974358974359,7,3.075033512463261e-05
4,12,4/12,0.1958974358974359,8,1.6774742203752595e-05
4,12,4/12,0.1958974358974359,9,2.4503544480323542e-05
4,12,4/12,0.20333333333333334,0,1.7819240303252665e-05
4,12,4/12,0.20333333333333334,1,1.9646342193873224e-05
4,12,4/12,0.20333333333333334,2,4.9913874583093604e-05
4,12,4/12,0.20333333333333334,3,1.55144835507248e-05
4,12,4/12,0.20333333333333334,4,2.2429776402772495e-05
4,12,4/12,0.20333333333333334,5,3.1040917699271664e-05
4,12,4/12,0.20333333333333334,6,0.00013674221953027325
4,12,4/12,0.20333333333333334,7,1.1690333359462122e-05
4,12,4/12,0.20333333333333334,8,3.0949398211866054e-05
4,12,4/12,0.20333333333333334,9,6.919754376939675e-05
4,12,4/12,0.21076923076923076,0,3.015104950484456e-05
4,12,4/12,0.21076923076923076,1,3.0399920493242076e-05
4,12,4/12,0.21076923076923076,2,2.5558825972705533e-05
4,12,4/12,0.21076923076923076,3,2.8118110406124656e-05
