sigma_test,replica,v_score_dualembed,v_score_dualembed_film
0.18102564102564103,7,9.784726880070743e-06,2.2723175977881155e-05
0.18102564102564103,8,1.1249293664680254e-05,1.8294624368340803e-05
0.18102564102564103,9,4.787716704883208e-06,1.3949965304670625e-05
0.18846153846153846,0,8.749339852158102e-06,1.299914244113053e-05
0.18846153846153846,1,3.852089725354377e-06,8.999189457375564e-06
0.18846153846153846,2,6.4688299624877206e-06,1.2074294000479554e-05
0.18846153846153846,3,7.393716604301871e-06,1.4998349537818067e-05
0.18846153846153846,4,1.0442119139970654e-05,1.1645690171866677e-05
0.18846153846153846,5,1.236706423931457e-05,1.7658863764892473e-05
0.18846153846153846,6,7.37652838445667e-06,1.2060868543556698e-05
0.18846153846153846,7,1.3759608923158878e-05,2.4073406283796406e-05
0.18846153846153846,8,1.996541876976102e-05,2.6226646571452987e-05
0.18846153846153846,9,8.85930429002429e-06,1.4291739984377463e-05
0.1958974358974359,0,8.775884690260484e-06,2.4130927727953983e-05
0.1958974358974359,1,7.559581031964785e-06,1.7313090007063545e-05
0.1958974358974359,2,5.509759381765393e-06,8.368111966239696e-06
0.1958974358974359,3,6.794255202912843e-06,1.4326893120304505e-05
0.1958974358974359,4,1.0901480928851833e-05,1.856204738566388e-05
0.1958974358974359,5,5.770576962375329e-06,1.2293998229320236e-05
0.1958974358974359,6,1.1158146167638777e-05,1.8581740213196148e-05
0.1958974358974359,7,8.409893489965246e-06,1.7391256320682642e-05
0.1958974358974359,8,1.0289154576445766e-05,2.3112418323231657e-05
0.1958974358974359,9,9.13388083527663e-06,2.3160946162693033e-05
0.20333333333333334,0,1.0872542605210609e-05,2.6586245679353335e-05
0.20333333333333334,1,9.130120071175732e-06,1.4313667083684617e-05
0.20333333333333334,2,2.2343609472610397e-05,3.557402110981066e-05
0.20333333333333334,3,1.1432614031400958e-05,1.48894526797e-05
0.20333333333333334,4,1.068518818556296e-05,1.5693491650448245e-05
0.20333333333333334,5,1.1534478082839911e-05,2.6850797032733296e-05
0.20333333333333334,6,4.222906286538274e-05,0.00034169624012677654
0.20333333333333334,7,5.849022326667554e-06,9.379541449029212e-06
0.20333333333333334,8,1.0833408885575517e-05,1.8131278288200436e-05
0.20333333333333334,9,2.4476122182253387e-05,4.727570567763562e-05
0.21076923076923076,0,1.6992396970233594e-05,2.357866669301031e-05
0.21076923076923076,1,2.6451541676304808e-05,3.557602026035547e-05
0.21076923076923076,2,9.103441935625896e-06,1.211799010119667e-05
0.21076923076923076,3,1.0242410048547694e-05,1.3538976894259474e-05
0.21076923076923076,4,1.0862139302452391e-05,1.957960714456975e-05
0.21076923076923076,5,1.1934741482020375e-05,1.8876650776699822e-05
0.21076923076923076,6,1.9125372923530358e-05,3.413919426386083e-05
0.21076923076923076,7,2.6082831867269244e-05,4.046680481893226e-05
0.21076923076923076,8,4.277866525039545e-06,8.667866825993105e-06
0.21076923076923076,9,1.0222930535961475e-05,2.038392611350716e-05
0.21820512820512822,0,1.805316819655272e-05,2.3807936475603336e-05
0.21820512820512822,1,4.886493654056392e-06,1.1319765577790891e-05
0.21820512820512822,2,1.2152076384132089e-05,2.1511072655530946e-05
0.21820512820512822,3,1.2059392510565331e-05,3.4705034707227707e-05
0.21820512820512822,4,8.201762502689042e-06,1.6326562586319848e-05
0.21820512820512822,5,3.073812935870479e-05,4.040591796749597e-05
0.21820512820512822,6,9.480114785611326e-06,2.6115689293193642e-05
0.21820512820512822,7,1.6019209986103948e-05,3.872996319927926e-05
0.21820512820512822,8,6.723973959249874e-06,1.6561242728217737e-05
0.21820512820512822,9,7.661084540188865e-06,1.399185469553787e-05
0.22564102564102564,0,9.731638902527604e-06,2.255363263685328e-05
0.22564102564102564,1,2.4546882149504837e-05,4.16282868939322e-05
0.22564102564102564,2,8.080577220337943e-06,1.3902431223724287e-05
0.22564102564102564,3,2.5787158329672156e-05,4.50803065907104e-05
0.22564102564102564,4,6.031611160974508e-06,1.919189803490647e-05
0.22564102564102564,5,2.7940712168330435e-05,4.359886070872552e-05
0.22564102564102564,6,1.3879659543352364e-05,3.6915232565343754e-05
0.22564102564102564,7,1.496214225019404e-05,1.9357229122745494e-05
0.22564102564102564,8,1.610131465813509e-05,3.1068809608136575e-05
0.22564102564102564,9,1.1948953921666354e-05,2.3882405542751476e-05
0.23307692307692307,0,1.802137310443247e-05,3.7173235321625716e-05
0.23307692307692307,1,1.575605049806457e-05,2.9469241967330797e-05
0.23307692307692307,2,2.981817886654968e-05,3.990384507957165e-05
0.23307692307692307,3,4.8796782952399574e-06,1.3703284436601367e-05
0.23307692307692307,4,2.4553819349510118e-05,9.698363229499527e-05
0.23307692307692307,5,2.669600297503626e-05,4.715783808352902e-05
0.23307692307692307,6,1.2276448259985819e-05,2.0321673779303605e-05
0.23307692307692307,7,1.7198307155042263e-05,2.5423708132093277e-05
0.23307692307692307,8,2.7364246103550158e-05,6.794456315384e-05
0.23307692307692307,9,9.924820887761776e-06,2.235105668100357e-05
0.24051282051282052,0,2.0772320308041426e-05,2.3650923069874374e-05
0.24051282051282052,1,2.7336427787868206e-05,4.142621903467719e-05
0.24051282051282052,2,3.404038162425402e-05,5.208364261492839e-05
0.24051282051282052,3,2.1543475664915215e-05,3.748111976905768e-05
0.24051282051282052,4,3.139420979767774e-05,4.658039513428182e-05
0.24051282051282052,5,3.398511255433443e-05,7.514486869564244e-05
0.24051282051282052,6,3.781505281880437e-05,4.139831113203636e-05
