sigma_test,replica,v_score_dualembed,v_score_dualembed_posenc
0.15871794871794873,4,1.8796296225786153e-05,3.738049384484524e-05
0.15871794871794873,5,1.1618532845841743e-05,2.217398947285226e-05
0.15871794871794873,6,1.5743452843601784e-05,2.8336139779500804e-05
0.15871794871794873,7,1.789932088449363e-05,2.798177484121547e-05
0.15871794871794873,8,1.4107528359189332e-05,2.1739812421011903e-05
0.15871794871794873,9,2.6859768221441682e-05,2.662969781134288e-05
0.16615384615384615,0,1.5147329535560178e-05,2.5719837451983295e-05
0.16615384615384615,1,1.2965287847061884e-05,2.500478073141079e-05
0.16615384615384615,2,1.3296871912207266e-05,2.4203331083592727e-05
0.16615384615384615,3,1.3394020030406952e-05,2.3021460797106837e-05
0.16615384615384615,4,1.6734565477639482e-05,2.930572414054461e-05
0.16615384615384615,5,2.2074428065336367e-05,2.7883700816846728e-05
0.16615384615384615,6,1.2557626255990297e-05,2.116223000704359e-05
0.16615384615384615,7,2.473031560223055e-05,2.79675329490579e-05
0.16615384615384615,8,2.0473047201079178e-05,3.056086393238959e-05
0.16615384615384615,9,2.4236170118683544e-05,3.6529316270929905e-05
0.1735897435897436,0,5.4162386149538154e-05,6.16142256237402e-05
0.1735897435897436,1,1.4720940075695587e-05,2.621774664481415e-05
0.1735897435897436,2,2.2250432667810236e-05,3.0216683012367062e-05
0.1735897435897436,3,2.093201383339328e-05,3.99772509163377e-05
0.1735897435897436,4,2.2055944702198557e-05,3.2752214098737295e-05
0.1735897435897436,5,2.0901561936328475e-05,4.481665159829735e-05
0.1735897435897436,6,2.9035068301157972e-05,4.919291882974366e-05
0.1735897435897436,7,4.55163896933366e-05,4.470339156485492e-05
0.1735897435897436,8,1.4167074467442556e-05,2.5208492758679058e-05
0.1735897435897436,9,1.5187099030730126e-05,3.2609129957164576e-05
0.18102564102564103,0,1.3835581762692083e-05,2.5065815848851687e-05
0.18102564102564103,1,2.4015508174203262e-05,3.857854740614775e-05
0.18102564102564103,2,3.561987827098551e-05,4.204908528147275e-05
0.18102564102564103,3,3.10059382561861e-05,5.9204556859405685e-05
0.18102564102564103,4,2.312212465343491e-05,2.7681926130630622e-05
0.18102564102564103,5,1.6243220863657123e-05,2.5767822589402223e-05
0.18102564102564103,6,2.6466949866750522e-05,4.2450173895204004e-05
0.18102564102564103,7,3.42914564904021e-05,5.1341405014489715e-05
0.18102564102564103,8,2.5971361146175678e-05,3.352738672078281e-05
0.18102564102564103,9,1.7408845109533996e-05,2.2714053506085792e-05
0.18846153846153846,0,1.9954243965159136e-05,3.616386645378301e-05
0.18846153846153846,1,1.3113532517273072e-05,2.670835988301936e-05
0.18846153846153846,2,1.875982183627602e-05,2.4840949282364547e-05
0.18846153846153846,3,3.975142333868187e-05,2.4205403601041093e-05
0.18846153846153846,4,1.9623954039539266e-05,3.693488984669791e-05
0.18846153846153846,5,2.216730672424851e-05,3.831506751989624e-05
0.18846153846153846,6,1.6830036420557125e-05,3.187395085735486e-05
0.18846153846153846,7,2.4190942438438047e-05,4.441349984707526e-05
0.18846153846153846,8,2.899047548927567e-05,4.941459056919218e-05
0.18846153846153846,9,2.6588005237183456e-05,4.155345971580691e-05
0.1958974358974359,0,2.7723231567604585e-05,4.8260077788377846e-05
0.1958974358974359,1,2.247457725881978e-05,3.3423090897295274e-05
0.1958974358974359,2,1.418475771105686e-05,2.7100026117323715e-05
0.1958974358974359,3,2.0914738801048273e-05,2.935394935089971e-05
0.1958974358974359,4,2.1268786653638863e-05,3.209202695543052e-05
0.1958974358974359,5,1.7417619209699187e-05,2.8556831676064723e-05
0.1958974358974359,6,2.0577695759235933e-05,3.167330051108893e-05
0.1958974358974359,7,2.1966815887868293e-05,3.7214983263484434e-05
0.1958974358974359,8,2.0113995258361024e-05,3.020111263224165e-05
0.1958974358974359,9,2.052834171453288e-05,3.8248682386279736e-05
0.20333333333333334,0,0.00010184805350496468,4.196885776123267e-05
0.20333333333333334,1,2.189206148675372e-05,3.254585110885239e-05
0.20333333333333334,2,2.522621513945141e-05,4.6316289311626314e-05
0.20333333333333334,3,1.7690253895378427e-05,2.924149524175031e-05
0.20333333333333334,4,1.4150110718345784e-05,3.259049210307832e-05
0.20333333333333334,5,2.6670833813691392e-05,4.738954618226643e-05
0.20333333333333334,6,0.0001511807331905591,0.00010349276001011576
0.20333333333333334,7,1.3898471986409694e-05,2.6763950333748074e-05
0.20333333333333334,8,2.8345692684941148e-05,3.265168229256541e-05
